host_id,host_name,host_location,host_response_time,host_response_rate,host_is_superhost,host_total_listings_count,cancellation_policy,years_host
9206382,Teddy,NY,within a day,1,f,1,moderate,4
1207773,Trista,NY,within a day,0.9,f,2,flexible,6
480943,Ro,NY,within a day,0.8,f,2,super_strict_30,6
1453898,Anthony,NY,within an hour,0.96,f,2,moderate,6
101550534,Jacqueline,NY,within a day,1,f,1,strict,1
25412754,Nish,NY,within a few hours,0.91,f,1,strict,3
5440411,Dom,NY,within a few hours,1,f,1,moderate,4
33233492,Sam And Patricia,NY,within a few hours,1,t,1,strict,2
110026778,Sanja,NY,within an hour,1,f,1,strict,0
9770501,Hannah,NY,a few days or more,0.25,f,1,moderate,4
114977427,Katherine,NY,within a day,1,f,1,moderate,0
1112560,Mary,NY,within a few hours,1,f,3,strict,6
20536178,James,NY,within a few hours,1,f,1,strict,3
4680861,Que,NY,within an hour,1,f,1,strict,4
9601488,Jennifer,NY,within a day,0.7,f,1,moderate,4
11041134,Sveta,NY,within a few hours,1,f,1,strict,3
2195090,Thomas And Madalena,NY,within a day,1,f,1,moderate,5
98341498,Gabriel,NY,within a few hours,1,f,1,strict,1
1895211,Chizu&Yumi,NY,within an hour,1,f,3,strict,5
30045665,Boyd,NY,within an hour,1,f,1,strict,2
34765643,Gabriella,NY,within a day,1,f,2,strict,2
17053145,Ana P,NY,within an hour,0.9,f,1,strict,3
17730572,Cedric,NY,within a few hours,1,f,2,moderate,3
85938655,Carlos,NY,within an hour,1,f,2,moderate,1
159011,Michael,NY,within a day,1,f,1,moderate,7
10528,Olivier,NY,within a few hours,1,f,2,moderate,8
6863846,Lauren,NY,within a few hours,1,f,1,moderate,4
128669,Alex,NY,within an hour,1,f,3,flexible,7
5707523,Antoine,NY,within a few hours,1,f,1,flexible,4
305314,Jen,NY,within a day,1,f,1,strict,7
59777,Thais,NY,within a few hours,1,f,7,strict,8
52580300,Danny,NY,within an hour,1,f,1,moderate,2
513405,Stacie,NY,within an hour,1,f,1,moderate,6
8178950,Mari,NY,within a few hours,0.9,f,1,strict,4
25399747,Ron,NY,within a day,1,f,1,flexible,3
16462666,Ali,NY,a few days or more,0.4,f,3,strict,3
81909939,Gabe,NY,a few days or more,0,f,1,flexible,1
116871769,Paige,NY,within a few hours,1,f,1,flexible,0
25757883,Sayaka,NY,within an hour,0.8,t,1,strict,2
50546859,Maria,NY,within a day,1,f,2,moderate,2
114994317,Kate,NY,within an hour,1,f,1,strict,0
19464598,Chris,NY,within an hour,1,f,1,flexible,3
597085,Rob & Pilar,NY,within a few hours,1,f,1,strict,6
100425039,Maria,NY,a few days or more,0.13,f,1,moderate,1
7735666,Laura,NY,within an hour,1,f,1,strict,4
100202479,Michelle,NY,within an hour,1,f,1,moderate,1
3093378,Sabrina,NY,within a few hours,1,f,1,strict,5
818508,Souheil,NY,within a few hours,1,f,1,flexible,6
465589,Amia,NY,within an hour,0.9,f,1,strict,6
1571120,Timothy + Gina,NY,within an hour,0.9,t,2,strict,5
48200152,Natty,NY,within a few hours,1,t,1,strict,2
533556,Ryan,NY,within a few hours,1,t,1,strict,6
17819992,Jonah,NY,within a day,0.89,f,2,flexible,3
10832637,Fabiola,NY,within an hour,1,f,2,moderate,4
13056751,Eleni,NY,within a few hours,0.96,f,1,strict,3
4209540,Aaron,NY,within a few hours,1,f,3,moderate,5
20873322,Tj,NY,within an hour,0.9,f,1,strict,3
9991075,Erika,NY,within a day,1,t,2,strict,4
15813857,Brian,NY,within a few hours,1,t,1,moderate,3
2222500,Valerie,NY,within a day,0.8,f,3,strict,5
69262419,Jason,NY,within an hour,1,t,1,strict,1
138010,Ofri,NY,within an hour,1,f,1,strict,7
20889192,Gabrielle,NY,within a few hours,0.8,f,1,strict,3
18171288,Katharine,NY,within a day,1,f,1,flexible,3
319092,Juhli,NY,within a few hours,1,t,1,moderate,7
