id,host_id,neighbourhood_id,latitude,longitude,property_type,room_type,accommodates,price,minimum_nights,maximum_nights,availability_365,instant_bookable
15663857,20830,6,40.78132905,-73.9473216,Apartment,Private room,2,55,1,40,56,f
9836960,38064272,1,40.68534683,-73.95036277,Apartment,Private room,1,30,1,1125,0,f
6976282,14935858,5,40.76163851,-73.99055674,Apartment,Private room,2,99,1,29,230,t
17682955,54677014,4,40.82278956,-73.95170483,Apartment,Private room,2,75,2,10,166,t
16058148,22693119,4,40.8305682,-73.94602461,Apartment,Entire home/apt,4,109,5,30,15,f
14520743,33518883,5,40.76106288,-73.99147993,Apartment,Private room,2,95,4,1125,5,t
4680566,2313878,4,40.82073847,-73.95366787,Apartment,Private room,1,55,10,1125,292,t
15507495,99623586,8,40.71406463,-73.94678626,House,Entire home/apt,16,899,2,1125,307,t
6993862,35606248,8,40.70570786,-73.92774048,Apartment,Private room,2,70,1,1125,349,t
11822434,62974212,2,40.69930606,-73.92067078,Apartment,Entire home/apt,2,120,3,8,48,f
13689706,46083939,1,40.69007737,-73.92661262,Apartment,Entire home/apt,3,120,1,30,20,f
14959206,41177070,8,40.71279443,-73.9444321,Apartment,Entire home/apt,2,150,3,15,14,f
16362505,63735213,1,40.68167882,-73.92390746,House,Private room,2,150,1,29,132,f
18007924,10113653,2,40.69334498,-73.92172432,Apartment,Private room,1,55,2,30,41,f
6987677,14935858,5,40.76091398,-73.99072194,Apartment,Private room,2,109,1,29,212,t
16650612,24805629,5,40.76486411,-73.98682225,Apartment,Entire home/apt,2,200,3,1125,1,t
9380474,48578050,8,40.71438556,-73.96256122,Apartment,Private room,2,50,3,1125,0,f
3980218,20630225,3,40.72814942,-73.98804181,Apartment,Entire home/apt,4,160,2,1125,311,f
4457654,1480847,2,40.68910035,-73.91859825,Loft,Private room,2,57,2,30,175,f
140237,668326,1,40.68770089,-73.93374122,House,Entire home/apt,3,140,3,365,285,f
4021957,11279301,5,40.76456329,-73.98705219,Apartment,Entire home/apt,4,185,1,250,269,t
16560593,35998113,1,40.68186019,-73.91188199,Apartment,Shared room,2,31,2,7,280,f
215172,5926,4,40.82675525,-73.94813469,Apartment,Private room,3,60,3,365,141,t
9770459,49293531,1,40.68123667,-73.94188156,House,Private room,2,75,10,1125,165,f
870246,1872543,2,40.69238568,-73.9082078,Apartment,Private room,1,65,2,180,323,f
6467744,645887,8,40.71323284,-73.9469948,Other,Entire home/apt,2,139,2,1125,141,f
13996328,26073486,5,40.75778614,-73.99998198,Apartment,Entire home/apt,3,220,2,1125,123,f
