review_id,id,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
145,15663857,3,100,8,8,7,10,10,10
146,9836960,1,100,10,10,10,10,10,10
147,6976282,52,97,10,10,10,10,10,10
148,17682955,2,100,10,10,10,10,10,10
149,16058148,6,93,10,8,9,10,9,10
150,14520743,7,97,10,10,10,9,10,10
151,4680566,8,80,9,8,10,10,8,8
152,15507495,4,100,10,10,10,9,10,10
153,6993862,55,85,9,9,8,9,9,8
154,11822434,6,100,10,9,10,10,10,10
155,13689706,20,96,10,10,10,10,9,10
156,14959206,16,100,10,10,10,10,10,10
157,16362505,11,90,9,9,9,9,8,9
158,18007924,2,80,8,10,10,10,8,9
159,6987677,93,96,10,10,10,10,10,10
160,16650612,2,90,10,10,10,9,10,10
161,9380474,2,90,10,10,10,10,10,10
162,3980218,6,100,10,9,10,10,10,10
163,4457654,35,95,10,9,10,10,8,9
164,140237,63,97,10,10,10,10,9,9
165,4021957,124,93,9,9,10,10,10,9
166,16560593,12,100,10,10,10,10,10,10
167,215172,47,82,8,9,9,9,8,8
168,9770459,5,100,10,10,10,10,9,10
169,870246,6,100,10,9,10,10,9,10
170,6467744,39,95,10,10,10,10,10,10
171,13996328,2,100,10,10,10,10,10,10
172,13941308,34,95,10,10,9,10,9,9
173,5152230,27,96,10,9,10,10,9,9
174,13714575,3,93,10,10,10,10,10,10
175,15997148,2,100,10,10,10,10,10,10
176,8389905,66,89,9,8,10,10,9,9
177,17591356,3,93,10,9,9,10,10,9
178,5010456,119,96,10,9,10,10,9,10
179,16883813,2,100,10,10,10,10,10,10
180,13998223,17,99,10,10,10,10,10,10
181,9629178,2,100,10,10,10,10,10,10
182,10179210,19,93,9,9,9,9,10,9
183,1042416,105,88,9,9,10,10,8,9
184,17031448,5,88,9,9,10,9,9,9
185,4150060,23,94,10,9,10,10,9,9
186,8367572,6,90,9,9,9,10,9,9
187,6416059,37,94,10,10,10,10,9,9
188,16782804,12,95,9,10,9,9,9,9
189,16353485,1,100,10,10,10,10,10,10
190,15771318,3,100,10,10,10,10,10,9
191,4490787,93,87,9,8,9,9,8,9
